geo,month,measure,value,flag
DK,2025m4,THS_HD,32.98,
AT,2025m5,THS_HD,44.360001,
BE,2025m5,THS_HD,60.779999,
BG,2025m5,THS_HD,3.1700001,
CY,2025m5,THS_HD,1.53,
CZ,2025m5,THS_HD,17.4,
DE,2025m5,THS_HD,216.37,
EE,2025m5,THS_HD,2.23,
EL,2025m5,THS_HD,11.67,
ES,2025m5,THS_HD,204.78999,
FI,2025m5,THS_HD,17.42,
FR,2025m5,THS_HD,301.64001,
HR,2025m5,THS_HD,13.1,
HU,2025m5,THS_HD,8.5600004,
IE,2025m5,THS_HD,134.92,
IT,2025m5,THS_HD,212.37,
LT,2025m5,THS_HD,11.15,
LU,2025m5,THS_HD,1.98,
LV,2025m5,THS_HD,4.8400002,
MT,2025m5,THS_HD,.36000001,
NL,2025m5,THS_HD,154.67,
PL,2025m5,THS_HD,167.36,
PT,2025m5,THS_HD,31.040001,
RO,2025m5,THS_HD,12.51,p
SE,2025m5,THS_HD,30.110001,
SI,2025m5,THS_HD,7.5900002,
SK,2025m5,THS_HD,1.84,
DK,2025m5,THS_HD,36.279999,
AT,2025m6,THS_HD,43.880001,
BE,2025m6,THS_HD,60.59,
BG,2025m6,THS_HD,2.75,
CY,2025m6,THS_HD,1.36,
CZ,2025m6,THS_HD,16.370001,
DE,2025m6,THS_HD,197.41,
EE,2025m6,THS_HD,1.9299999,
EL,2025m6,THS_HD,11.99,
ES,2025m6,THS_HD,197.06,
FI,2025m6,THS_HD,18.120001,
FR,2025m6,THS_HD,308.82001,
HR,2025m6,THS_HD,12.5,
HU,2025m6,THS_HD,8.6899996,
IE,2025m6,THS_HD,129.25999,
IT,2025m6,THS_HD,196.97,
LT,2025m6,THS_HD,8.7700005,
LU,2025m6,THS_HD,1.9299999,
LV,2025m6,THS_HD,3.96,
MT,2025m6,THS_HD,.37,
NL,2025m6,THS_HD,148.32001,
PL,2025m6,THS_HD,162.09,
PT,2025m6,THS_HD,32.09,
RO,2025m6,THS_HD,14.46,p
SE,2025m6,THS_HD,28.82,
SI,2025m6,THS_HD,6.4000001,
SK,2025m6,THS_HD,1.62,
DK,2025m6,THS_HD,34.759998,
AT,2025m7,THS_HD,47.529999,
BE,2025m7,THS_HD,58.950001,
BG,2025m7,THS_HD,2.3499999,
CY,2025m7,THS_HD,1.47,
