panel,x,y,persistence,taxable_share,incremental_pass_through,beta,beta_low,beta_high,pre_price_dkk_kg,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
1,0,.44,0,.25,.44,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.8255679463776382,65.08829095972196,65.08829095972196,65.08829095972196,31.84612211726352,149.8428021002028
1,0,.7,0,.25,.7,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.313403551055333,64.60045535504426,64.60045535504426,64.60045535504426,31.35828651258582,149.3549664955252
4,0,.34,0,1,.34,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.551755470621791,63.3621034354778,63.3621034354778,63.3621034354778,30.11993459301937,148.1166145759587
4,0,.66,0,1,.66,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,4.95340767826583,60.96045122783376,60.96045122783376,60.96045122783376,27.71828238537533,145.7149623683147
4,0,0,0,1,0,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
1,0,.42,0,.25,.42,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.7880421306332001,65.12581677546639,65.12581677546639,65.12581677546639,31.88364793300796,149.8803279159473
3,0,.66,0,.75,.66,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.715055758699372,62.19880314740022,62.19880314740022,62.19880314740022,28.95663430494179,146.9533142878811
2,0,.04,0,.5,.04,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.1501032629777524,65.76375564312184,65.76375564312184,65.76375564312184,32.52158680066341,150.5182667836027
1,0,.72,0,.25,.72,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.350929366799771,64.56292953929982,64.56292953929982,64.56292953929982,31.32076069684139,149.3174406797807
1,0,.48,0,.25,.48,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.9006195778665144,65.01323932823308,65.01323932823308,65.01323932823308,31.77107048577464,149.767750468714
1,0,.4,0,.25,.4,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.750516314888762,65.16334259121084,65.16334259121084,65.16334259121084,31.92117374875239,149.9178537316917
3,0,.48,0,.75,.48,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.701858733599543,63.21200017250005,63.21200017250005,63.21200017250005,29.96983133004161,147.9665113129809
3,0,.5,0,.75,.5,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.814436180832858,63.09942272526673,63.09942272526673,63.09942272526673,29.8572538828083,147.8539338657476
1,0,.8,0,.25,.8,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.501032629777524,64.41282627632206,64.41282627632206,64.41282627632206,31.17065743386364,149.167337416803
3,0,.06,0,.75,.06,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.3377323416999429,65.57612656439964,65.57612656439964,65.57612656439964,32.33395772194122,150.3306377048806
2,0,0,0,.5,0,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,0,65.91385890609959,65.91385890609959,65.91385890609959,32.67169006364116,150.6683700465805
2,0,.9399999999999999,0,.5,.9399999999999999,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.527426679977181,62.38643222612241,62.38643222612241,62.38643222612241,29.14426338366398,147.1409433666033
2,0,.2,0,.5,.2,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.750516314888762,65.16334259121084,65.16334259121084,65.16334259121084,31.92117374875239,149.9178537316917
1,0,.88,0,.25,.88,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.651135892755276,64.26272301334431,64.26272301334431,64.26272301334431,31.02055417088588,149.0172341538252
3,0,.42,0,.75,.42,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.3641263918996,63.54973251419999,63.54973251419999,63.54973251419999,30.30756367174156,148.3042436546809
2,0,.58,0,.5,.58,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.17649731317741,63.73736159292218,63.73736159292218,63.73736159292218,30.49519275046375,148.4918727334031
4,0,1,0,1,1,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,7.50516314888762,58.40869575721197,58.40869575721197,58.40869575721197,25.16652691475354,143.1632068976929
4,0,.84,0,1,.84,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,6.3043370450656,59.60952186103399,59.60952186103399,59.60952186103399,26.36735301857556,144.3640330015149
